Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[   8.         2213.52609493],[  0.         160.46795939],[   8.         1773.37807643],[   8.         2546.84570386],"[11, 20, 25, 14, 23, 21, 1, 22, 16, 15, 8, 3, 17, 6, 4, 18, 7, 2, 9, 24, 12, 13, 19, 10, 5]","(8.0, 1773.3780764342973)"
1,352,[   8.         2031.73124632],[ 0.         89.59650539],[   8.         1773.37807643],[   8.         2175.29938101],"[11, 20, 25, 14, 23, 21, 1, 22, 16, 15, 8, 3, 17, 6, 4, 18, 7, 2, 9, 24, 12, 13, 19, 10, 5]","(8.0, 1773.3780764342973)"
2,338,[   8.         1933.36669493],[ 0.        52.6030695],[   8.         1773.37807643],[   8.         2011.09628586],"[11, 20, 25, 14, 23, 21, 1, 22, 16, 15, 8, 3, 17, 6, 4, 18, 7, 2, 9, 24, 12, 13, 19, 10, 5]","(8.0, 1773.3780764342973)"
3,338,[   8.         1878.49731531],[ 0.         42.39207552],[   8.         1724.75319218],[   8.         1925.40467465],"[23, 20, 16, 3, 10, 7, 24, 8, 9, 12, 2, 5, 17, 15, 18, 4, 13, 6, 21, 14, 25, 22, 19, 11, 1]","(8.0, 1724.7531921810726)"
4,348,[   8.         1834.28442054],[ 0.         34.84569342],[   8.         1724.75319218],[   8.         1878.34748345],"[23, 20, 16, 3, 10, 7, 24, 8, 9, 12, 2, 5, 17, 15, 18, 4, 13, 6, 21, 14, 25, 22, 19, 11, 1]","(8.0, 1724.7531921810726)"
5,340,[   8.         1798.34731811],[ 0.         24.10123995],[   8.         1709.86792203],[   8.        1825.3090209],"[2, 13, 15, 22, 17, 16, 7, 14, 6, 4, 11, 9, 25, 23, 19, 8, 21, 24, 10, 12, 18, 20, 5, 3, 1]","(8.0, 1709.867922034024)"
6,350,[   8.         1773.03792425],[ 0.         17.65092817],[   8.         1684.79745449],[   8.         1801.38097658],"[22, 9, 6, 13, 17, 16, 7, 14, 15, 4, 11, 2, 25, 23, 8, 19, 21, 24, 10, 12, 18, 20, 5, 3, 1]","(8.0, 1684.7974544900062)"
7,336,[   8.         1760.04569616],[ 0.         18.60129802],[   8.         1682.66362078],[   8.         1773.37807643],"[2, 13, 15, 22, 17, 16, 7, 14, 11, 4, 6, 9, 25, 23, 19, 8, 21, 24, 10, 12, 18, 20, 5, 3, 1]","(8.0, 1682.663620783841)"
8,340,[   8.         1744.74379144],[ 0.         19.60313353],[   8.         1655.13358939],[   8.         1766.94943052],"[22, 9, 6, 13, 17, 16, 24, 14, 15, 4, 11, 2, 25, 23, 8, 19, 21, 7, 10, 12, 18, 20, 5, 3, 1]","(8.0, 1655.1335893918886)"
9,340,[   8.         1725.55653026],[ 0.         16.59847419],[   8.         1655.13358939],[   8.        1748.5139282],"[22, 9, 6, 13, 17, 16, 24, 14, 15, 4, 11, 2, 25, 23, 8, 19, 21, 7, 10, 12, 18, 20, 5, 3, 1]","(8.0, 1655.1335893918886)"
10,324,[   8.         1712.02375548],[ 0.         16.42588011],[   8.         1634.16407459],[   8.         1724.75319218],"[13, 21, 4, 5, 9, 6, 23, 25, 14, 20, 11, 3, 2, 10, 18, 19, 17, 15, 24, 8, 7, 22, 12, 16, 1]","(8.0, 1634.1640745922116)"
