Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[   8.        2136.5202222],[  0.         139.29700016],[   8.         1762.19261066],[   8.        2410.7544961],"[24, 25, 23, 18, 12, 15, 10, 8, 4, 5, 19, 21, 20, 7, 16, 11, 13, 3, 17, 9, 6, 2, 14, 22, 1]","(8.0, 1762.1926106556461)"
1,354,[   8.         1979.57864611],[ 0.         88.28744485],[   8.         1762.19261066],[   8.         2134.66365778],"[24, 25, 23, 18, 12, 15, 10, 8, 4, 5, 19, 21, 20, 7, 16, 11, 13, 3, 17, 9, 6, 2, 14, 22, 1]","(8.0, 1762.1926106556461)"
2,324,[   8.         1888.84235569],[ 0.         45.96116258],[   8.         1758.01812143],[   8.         1954.69861384],"[22, 10, 3, 4, 24, 19, 23, 25, 7, 11, 21, 20, 1, 8, 16, 12, 17, 18, 13, 14, 2, 6, 15, 9, 5]","(8.0, 1758.0181214278982)"
3,340,[   8.         1839.17583812],[ 0.         33.65337849],[   8.        1723.1762651],[   8.         1888.31327017],"[24, 25, 23, 18, 12, 15, 10, 8, 4, 5, 19, 21, 20, 7, 16, 11, 13, 3, 17, 9, 6, 1, 14, 22, 2]","(8.0, 1723.1762651047666)"
4,354,[   8.         1804.84979562],[ 0.         27.56301275],[   8.         1714.04237303],[   8.         1836.64738636],"[24, 25, 23, 16, 12, 15, 10, 8, 4, 5, 19, 21, 20, 17, 18, 11, 13, 3, 7, 9, 6, 2, 14, 22, 1]","(8.0, 1714.0423730328998)"
5,352,[   8.         1775.61469483],[ 0.         21.31486756],[   8.         1698.13508977],[   8.         1808.75242888],"[22, 10, 3, 4, 24, 19, 23, 25, 9, 11, 21, 2, 1, 8, 16, 12, 17, 18, 13, 14, 20, 6, 15, 7, 5]","(8.0, 1698.1350897744667)"
6,346,[   8.         1754.02749678],[ 0.         17.09606282],[   8.         1689.27224247],[   8.         1777.40274096],"[24, 25, 23, 16, 12, 15, 10, 8, 4, 5, 19, 21, 20, 13, 18, 11, 7, 3, 1, 9, 6, 2, 14, 22, 17]","(8.0, 1689.2722424732428)"
7,334,[   8.         1736.82698684],[ 0.         16.12337148],[   8.         1689.27224247],[   8.        1760.4178482],"[24, 25, 23, 16, 12, 15, 10, 8, 4, 5, 19, 21, 20, 13, 18, 11, 7, 3, 1, 9, 6, 2, 14, 22, 17]","(8.0, 1689.2722424732428)"
8,340,[   8.         1720.61923626],[ 0.         10.88481157],[   8.         1688.73046082],[   8.         1738.53900983],"[12, 10, 3, 14, 24, 8, 23, 25, 7, 11, 21, 20, 22, 19, 16, 13, 17, 18, 1, 4, 9, 6, 15, 2, 5]","(8.0, 1688.730460821318)"
9,322,[   8.        1710.6014369],[ 0.         11.18510984],[   8.         1661.54229071],[   8.         1722.56933133],"[14, 25, 23, 16, 12, 15, 10, 8, 4, 5, 19, 21, 20, 17, 18, 11, 13, 3, 7, 9, 6, 2, 24, 22, 1]","(8.0, 1661.5422907114726)"
