Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[   8.         2220.08249277],[  0.         157.14405158],[   8.         1806.45913296],[   8.         2531.65857116],"[20, 24, 22, 14, 25, 5, 8, 4, 7, 12, 16, 2, 11, 23, 13, 6, 17, 18, 1, 15, 19, 9, 21, 10, 3]","(8.0, 1806.459132958795)"
1,348,[   8.         2046.24314239],[ 0.        90.1203489],[   8.         1776.78490827],[   8.         2175.93161039],"[24, 11, 3, 1, 23, 13, 8, 21, 7, 2, 10, 22, 9, 12, 15, 19, 17, 16, 6, 14, 25, 20, 5, 4, 18]","(8.0, 1776.7849082695727)"
2,340,[   8.         1945.53934682],[ 0.         58.55283474],[   8.         1776.78490827],[   8.         2032.27930289],"[24, 11, 3, 1, 23, 13, 8, 21, 7, 2, 10, 22, 9, 12, 15, 19, 17, 16, 6, 14, 25, 20, 5, 4, 18]","(8.0, 1776.7849082695727)"
3,332,[   8.         1882.43158745],[ 0.         36.16843726],[   8.         1774.65988173],[   8.         1932.61363572],"[24, 13, 3, 1, 23, 11, 8, 21, 7, 2, 10, 22, 9, 12, 15, 19, 17, 16, 6, 14, 25, 20, 5, 4, 18]","(8.0, 1774.6598817307329)"
4,326,[   8.         1845.13391454],[ 0.         31.42794204],[   8.         1762.66864204],[   8.         1888.91928161],"[24, 11, 3, 1, 23, 13, 8, 21, 7, 2, 10, 22, 9, 5, 4, 19, 17, 16, 6, 14, 25, 20, 12, 15, 18]","(8.0, 1762.668642042962)"
5,340,[   8.         1813.35551486],[ 0.         23.22968811],[   8.         1735.62617176],[   8.         1844.62744559],"[24, 11, 3, 1, 23, 13, 5, 21, 7, 2, 10, 22, 9, 12, 15, 19, 17, 16, 18, 14, 25, 20, 8, 4, 6]","(8.0, 1735.6261717638872)"
6,358,[   8.         1789.39406874],[ 0.         15.92730471],[   8.         1718.80156639],[   8.         1811.17790047],"[20, 24, 22, 14, 25, 3, 8, 4, 7, 12, 16, 2, 19, 23, 13, 17, 6, 9, 1, 15, 11, 18, 21, 10, 5]","(8.0, 1718.8015663884526)"
7,360,[   8.         1772.27601253],[ 0.         12.28315108],[   8.         1700.05923435],[   8.         1784.84863663],"[24, 11, 3, 1, 10, 13, 17, 21, 7, 2, 23, 22, 9, 5, 15, 19, 8, 4, 6, 14, 25, 20, 12, 16, 18]","(8.0, 1700.0592343549442)"
8,348,[   8.         1761.99861368],[ 0.         15.42757948],[   8.         1685.15888932],[   8.         1776.78490827],"[20, 24, 22, 14, 25, 5, 8, 4, 7, 12, 16, 2, 11, 10, 13, 19, 17, 18, 1, 15, 6, 9, 21, 23, 3]","(8.0, 1685.1588893209644)"
9,344,[   8.         1748.42302945],[ 0.         14.54958003],[   8.         1685.15888932],[   8.         1763.62896722],"[20, 24, 22, 14, 25, 5, 8, 4, 7, 12, 16, 2, 11, 10, 13, 19, 17, 18, 1, 15, 6, 9, 21, 23, 3]","(8.0, 1685.1588893209644)"
