Generation,evals,avg,std,min,max,best_one,fitness_best_one
21,692,[   8.         1630.04140705],[0.         5.67994687],[   8.         1603.18970321],[   8.        1635.5387385],"[14, 23, 3, 5, 6, 9, 20, 25, 2, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1603.1897032052684)"
22,672,[   8.         1625.46828111],[0.         5.72517588],[   8.         1590.62706691],[   8.         1631.28528796],"[14, 23, 25, 5, 6, 9, 20, 3, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1590.6270669125672)"
23,690,[   8.         1621.16022472],[0.         6.30346082],[   8.         1590.62706691],[   8.         1626.80520585],"[14, 23, 25, 5, 6, 9, 20, 3, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1590.6270669125672)"
24,690,[   8.         1615.91606266],[0.         6.52382432],[   8.         1590.62706691],[   8.         1621.99432278],"[14, 23, 25, 5, 6, 9, 20, 3, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1590.6270669125672)"
25,656,[   8.         1611.02082712],[0.        7.3644205],[   8.         1590.62706691],[   8.         1619.04351061],"[14, 23, 25, 5, 6, 9, 20, 3, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1590.6270669125672)"
26,662,[   8.         1603.72125248],[0.         4.45654884],[   8.         1555.38458151],[   8.         1611.28552788],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1555.384581507571)"
27,674,[   8.         1600.81824148],[0.         5.67369042],[   8.         1555.38458151],[   8.         1603.18970321],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1555.384581507571)"
28,694,[   8.         1597.86570556],[0.         7.77475128],[   8.         1555.38458151],[   8.         1603.18970321],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1555.384581507571)"
29,686,[   8.        1591.9414013],[0.         8.79999978],[   8.         1555.38458151],[   8.        1601.2923848],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1555.384581507571)"
30,656,[   8.         1585.92357159],[0.         9.78539453],[   8.         1546.38669298],[   8.         1590.62706691],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 4, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1546.3866929773494)"
