Generation,evals,avg,std,min,max,best_one,fitness_best_one
10,328,[   8.         1713.38021041],[ 0.         19.36851321],[   8.         1668.89099167],[   8.         1739.86819173],"[16, 12, 18, 5, 6, 9, 13, 19, 20, 21, 8, 3, 23, 22, 17, 14, 25, 24, 1, 11, 10, 4, 15, 7, 2]","(8.0, 1668.890991669478)"
11,340,[   8.         1695.09783302],[ 0.         12.50678636],[   8.         1661.53274493],[   8.         1713.60470129],"[22, 21, 5, 14, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 24, 18, 19, 25, 3, 8, 15, 12]","(8.0, 1661.5327449305007)"
12,342,[   8.         1682.33467193],[0.        7.3724382],[   8.         1644.66657143],[   8.        1694.1281137],"[22, 21, 24, 14, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 25, 18, 19, 5, 3, 8, 15, 12]","(8.0, 1644.6665714321473)"
13,354,[   8.         1676.09506776],[0.         6.65801244],[   8.         1612.40611267],[   8.         1678.32813176],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 14, 18, 21, 25, 3, 8, 15, 12]","(8.0, 1612.4061126743914)"
14,330,[   8.         1673.19070051],[0.         9.19013756],[   8.         1612.40611267],[   8.         1678.32813176],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 14, 18, 21, 25, 3, 8, 15, 12]","(8.0, 1612.4061126743914)"
15,336,[   8.         1666.01818663],[ 0.         11.71078731],[   8.         1612.40611267],[   8.         1677.68706167],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 14, 18, 21, 25, 3, 8, 15, 12]","(8.0, 1612.4061126743914)"
16,344,[   8.         1656.92164866],[ 0.         13.05920288],[   8.         1612.40611267],[   8.         1668.89099167],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 14, 18, 21, 25, 3, 8, 15, 12]","(8.0, 1612.4061126743914)"
17,338,[   8.         1646.07773379],[ 0.         14.55318291],[   8.         1608.77883808],[   8.         1660.55724621],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 21, 7, 2, 23, 14, 18, 20, 25, 3, 8, 15, 12]","(8.0, 1608.7788380768357)"
18,340,[   8.         1634.42744333],[ 0.         14.04249438],[   8.        1605.7715643],[   8.         1646.30584529],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 1, 11, 10, 4, 21, 7, 2, 23, 14, 18, 20, 25, 3, 8, 15, 12]","(8.0, 1605.7715642999906)"
19,350,[   8.         1622.59288649],[ 0.         12.82552298],[   8.         1602.28883702],[   8.         1642.20484874],"[22, 19, 24, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 3, 7, 2, 23, 14, 18, 21, 25, 20, 8, 15, 12]","(8.0, 1602.2888370174119)"
20,342,[   8.         1611.58053786],[0.         2.36230156],[   8.         1588.40470443],[   8.         1615.06175368],"[22, 21, 8, 3, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 24, 5, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1588.4047044286606)"
21,336,[   8.         1610.38940567],[0.         3.24412293],[   8.         1588.40470443],[   8.         1612.40611267],"[22, 21, 8, 3, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 24, 5, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1588.4047044286606)"
22,346,[   8.         1608.14008333],[0.        4.0010428],[   8.         1585.88410281],[   8.         1612.40611267],"[19, 10, 4, 1, 25, 23, 14, 5, 9, 6, 20, 15, 16, 3, 11, 7, 17, 13, 18, 22, 21, 12, 24, 8, 2]","(8.0, 1585.8841028129648)"
23,350,[   8.         1605.45332679],[0.         4.82616722],[   8.         1585.88410281],[   8.         1608.88350586],"[19, 10, 4, 1, 25, 23, 14, 5, 9, 6, 20, 15, 16, 3, 11, 7, 17, 13, 18, 22, 21, 12, 24, 8, 2]","(8.0, 1585.8841028129648)"
24,348,[   8.         1602.08825372],[0.         5.96130844],[   8.         1569.64275796],[   8.         1606.97215776],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 24, 3, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1569.6427579641309)"
25,322,[   8.         1597.55701842],[0.         7.07457535],[   8.         1569.64275796],[   8.         1603.85207312],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 24, 3, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1569.6427579641309)"
26,348,[   8.        1591.7922324],[0.         7.07136256],[   8.         1569.64275796],[   8.         1602.38962272],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 24, 3, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1569.6427579641309)"
27,350,[   8.         1586.26564577],[0.         4.92621271],[   8.         1547.82018533],[   8.         1588.40470443],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 3, 7, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1547.8201853288497)"
28,330,[   8.         1583.57214488],[0.        6.6262754],[   8.         1547.82018533],[   8.         1588.40470443],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 3, 7, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1547.8201853288497)"
29,344,[   8.         1578.98489825],[0.         7.77319944],[   8.         1547.82018533],[   8.         1585.88410281],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 3, 7, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1547.8201853288497)"
30,334,[   8.         1571.72088964],[0.         6.68088888],[   8.         1547.82018533],[   8.         1582.30456048],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 3, 7, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1547.8201853288497)"
31,332,[   8.         1567.01947661],[0.         7.05422998],[   8.         1547.82018533],[   8.         1573.31573163],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 4, 11, 10, 1, 3, 7, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1547.8201853288497)"
32,330,[   8.         1562.50889114],[0.         8.53475836],[   8.         1544.81291155],[   8.         1569.64275796],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 1, 11, 10, 4, 3, 7, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1544.8129115520048)"
33,330,[   8.         1555.52827671],[0.         7.69186137],[   8.         1541.67172617],[   8.         1566.68557408],"[22, 21, 8, 5, 6, 9, 13, 17, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 19, 15, 12]","(8.0, 1541.671726173586)"
34,340,[   8.         1548.82680055],[0.         2.57123674],[   8.         1537.82243495],[   8.         1554.85238835],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1537.8224349532577)"
35,356,[   8.        1547.4327613],[0.         1.27152524],[   8.         1537.82243495],[   8.         1547.82018533],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1537.8224349532577)"
36,330,[   8.         1546.91410502],[0.         1.75084673],[   8.         1537.82243495],[   8.         1547.82018533],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1537.8224349532577)"
37,344,[   8.         1545.65334751],[0.         2.16931691],[   8.         1537.75988373],[   8.         1547.82018533],"[22, 21, 8, 5, 6, 9, 13, 15, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 19, 17, 12]","(8.0, 1537.7598837299404)"
38,342,[   8.         1543.72227701],[0.         1.78627469],[   8.         1537.75988373],[   8.         1545.33588616],"[22, 21, 8, 5, 6, 9, 13, 15, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 19, 17, 12]","(8.0, 1537.7598837299404)"
39,338,[   8.         1542.42134868],[0.         1.98904567],[   8.         1537.75988373],[   8.         1544.81291155],"[22, 21, 8, 5, 6, 9, 13, 15, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 19, 17, 12]","(8.0, 1537.7598837299404)"
40,330,[   8.         1540.66810648],[0.         1.55631384],[   8.         1537.75988373],[   8.         1541.72004138],"[22, 21, 8, 5, 6, 9, 13, 15, 16, 7, 11, 10, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 19, 17, 12]","(8.0, 1537.7598837299404)"
41,320,[   8.         1539.54693023],[0.         1.66431525],[   8.         1534.29814181],[   8.         1541.67172617],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1534.298141814015)"
42,328,[   8.         1537.92591242],[0.         0.65292033],[   8.         1534.29814181],[   8.        1540.7175003],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1534.298141814015)"
43,330,[   8.         1537.74658257],[0.         0.42248078],[   8.         1534.29814181],[   8.         1537.82243495],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1534.298141814015)"
44,330,[   8.         1537.68012894],[0.         0.54241946],[   8.         1534.29814181],[   8.         1537.82243495],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1534.298141814015)"
45,330,[   8.         1537.55916921],[0.         0.70337596],[   8.         1534.29814181],[   8.         1537.75988373],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1534.298141814015)"
46,320,[   8.         1537.29581467],[0.        1.0150337],[   8.         1534.29814181],[   8.         1537.75988373],"[22, 21, 8, 5, 6, 9, 19, 17, 16, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 12]","(8.0, 1534.298141814015)"
47,342,[   8.        1536.8790379],[0.         1.24270432],[   8.         1534.23559059],[   8.         1537.75988373],"[22, 21, 8, 5, 6, 9, 19, 17, 12, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 16]","(8.0, 1534.2355905906977)"
48,352,[   8.         1535.99524684],[0.         1.26085699],[   8.         1534.23559059],[   8.         1537.75988373],"[22, 21, 8, 5, 6, 9, 19, 17, 12, 7, 10, 11, 1, 3, 4, 2, 20, 24, 18, 23, 25, 14, 13, 15, 16]","(8.0, 1534.2355905906977)"
49,338,[   8.         1534.97322255],[0.         0.79066841],[   8.         1534.20396858],[   8.         1536.70593719],"[20, 21, 11, 5, 6, 9, 13, 15, 16, 7, 8, 10, 1, 3, 4, 2, 22, 24, 18, 23, 25, 14, 19, 17, 12]","(8.0, 1534.2039685840919)"
50,332,[   8.         1534.34614627],[0.         0.19262083],[   8.        1532.9530815],[   8.         1534.96223754],"[22, 21, 11, 5, 6, 9, 13, 15, 16, 7, 8, 10, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1532.9530815008661)"
51,346,[   8.         1534.28648454],[0.         0.09628426],[   8.        1532.9530815],[   8.         1534.29814181],"[22, 21, 11, 5, 6, 9, 13, 15, 16, 7, 8, 10, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1532.9530815008661)"
52,348,[   8.         1534.27122745],[0.         0.15049537],[   8.        1532.9530815],[   8.         1534.29814181],"[22, 21, 11, 5, 6, 9, 13, 15, 16, 7, 8, 10, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1532.9530815008661)"
53,334,[   8.         1534.22281086],[0.         0.26457403],[   8.         1532.85376963],[   8.         1534.29814181],"[20, 21, 11, 5, 6, 9, 13, 15, 16, 10, 8, 7, 1, 3, 4, 2, 22, 24, 18, 23, 25, 14, 19, 17, 12]","(8.0, 1532.8537696320736)"
54,330,[   8.         1534.12716615],[0.        0.4062723],[   8.         1531.55863278],[   8.         1534.29814181],"[20, 21, 11, 5, 6, 9, 13, 15, 16, 7, 8, 10, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1531.5586327763301)"
55,334,[   8.         1533.91975999],[0.         0.57698886],[   8.         1531.55863278],[   8.         1534.23559059],"[20, 21, 11, 5, 6, 9, 13, 15, 16, 7, 8, 10, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1531.5586327763301)"
56,330,[   8.        1533.5502944],[0.         0.72155047],[   8.         1529.65583149],[   8.         1534.20396858],"[22, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1529.6558314862195)"
57,348,[   8.         1532.91574892],[0.         0.50670153],[   8.         1529.65583149],[   8.         1534.20396858],"[22, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1529.6558314862195)"
58,340,[   8.         1532.69487886],[0.         0.54749888],[   8.         1529.65583149],[   8.        1532.9530815],"[22, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1529.6558314862195)"
59,360,[   8.         1532.44524881],[0.         0.72199538],[   8.         1529.65583149],[   8.         1532.85376963],"[22, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1529.6558314862195)"
60,334,[   8.         1531.99843757],[0.        0.8740764],[   8.         1529.65583149],[   8.         1532.85376963],"[22, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1529.6558314862195)"
61,354,[   8.         1531.31611752],[0.         0.80641364],[   8.         1529.65583149],[   8.         1532.36371852],"[22, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 20, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1529.6558314862195)"
62,322,[   8.         1530.78381332],[0.         0.94383763],[   8.         1528.26138276],[   8.         1531.55863278],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
63,324,[   8.         1530.00004985],[0.         0.78170519],[   8.         1528.26138276],[   8.         1531.55863278],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
64,334,[   8.         1529.60432093],[0.         0.25324959],[   8.         1528.26138276],[   8.         1529.65583149],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
65,324,[   8.        1529.5270551],[0.        0.3877994],[   8.         1528.26138276],[   8.         1529.65583149],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
66,326,[   8.         1529.38835378],[0.         0.52498472],[   8.         1528.26138276],[   8.         1529.65583149],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
67,328,[   8.         1529.06032643],[0.         0.65096947],[   8.         1528.26138276],[   8.         1529.65583149],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
68,336,[   8.         1528.48881363],[0.         0.41414567],[   8.         1528.26138276],[   8.         1529.65583149],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
69,348,[   8.         1528.27176778],[0.         0.04538354],[   8.         1528.26138276],[   8.         1528.47475255],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
70,344,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
71,352,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
72,342,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
73,340,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
74,356,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
75,322,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
76,338,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
77,336,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
78,332,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
79,338,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
80,342,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
81,350,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
82,334,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
83,326,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
84,348,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
85,352,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
86,350,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
87,336,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
88,350,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
89,350,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
90,340,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
91,350,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
92,344,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
93,330,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
94,340,[   8.         1528.26138276],[0.00000000e+00 9.09494702e-13],[   8.         1528.26138276],[   8.         1528.26138276],"[20, 21, 10, 5, 6, 9, 13, 15, 16, 7, 8, 11, 1, 3, 4, 2, 22, 24, 12, 23, 25, 14, 19, 17, 18]","(8.0, 1528.2613827616835)"
