Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[   8.         2206.37283866],[  0.         155.96277839],[   8.        1792.5829799],[   8.         2564.59463987],"[2, 17, 6, 20, 15, 22, 23, 16, 18, 21, 10, 5, 7, 24, 9, 1, 3, 4, 11, 8, 19, 13, 14, 25, 12]","(8.0, 1792.582979898225)"
1,338,[   8.         2037.60514754],[ 0.         84.96261442],[   8.        1792.5829799],[   8.         2175.28562985],"[2, 17, 6, 20, 15, 22, 23, 16, 18, 21, 10, 5, 7, 24, 9, 1, 3, 4, 11, 8, 19, 13, 14, 25, 12]","(8.0, 1792.582979898225)"
2,348,[   8.         1947.31708955],[ 0.         55.31362824],[   8.        1792.5829799],[   8.         2022.64307701],"[2, 17, 6, 20, 15, 22, 23, 16, 18, 21, 10, 5, 7, 24, 9, 1, 3, 4, 11, 8, 19, 13, 14, 25, 12]","(8.0, 1792.582979898225)"
3,352,[   8.         1887.29232715],[ 0.         39.75681833],[   8.         1747.95030804],[   8.         1941.35586928],"[2, 17, 6, 20, 15, 7, 23, 16, 18, 21, 10, 5, 22, 24, 9, 1, 3, 4, 11, 8, 19, 13, 14, 25, 12]","(8.0, 1747.9503080355053)"
4,346,[   8.         1845.03297236],[ 0.         29.61496023],[   8.         1747.95030804],[   8.         1891.27861176],"[2, 17, 6, 20, 15, 7, 23, 16, 18, 21, 10, 5, 22, 24, 9, 1, 3, 4, 11, 8, 19, 13, 14, 25, 12]","(8.0, 1747.9503080355053)"
5,332,[   8.         1812.41458184],[ 0.         22.44446184],[   8.         1739.86819173],[   8.         1846.59773293],"[2, 17, 6, 20, 15, 22, 12, 16, 18, 21, 10, 5, 7, 24, 9, 1, 3, 4, 11, 8, 19, 13, 14, 25, 23]","(8.0, 1739.8681917345396)"
6,350,[   8.        1789.3701349],[ 0.         19.38037438],[   8.         1678.32813176],[   8.        1812.1074319],"[22, 21, 24, 14, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 5, 18, 19, 25, 3, 8, 15, 12]","(8.0, 1678.3281317589965)"
7,336,[   8.         1770.63821135],[ 0.        21.8887735],[   8.         1678.32813176],[   8.        1792.5829799],"[22, 21, 24, 14, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 5, 18, 19, 25, 3, 8, 15, 12]","(8.0, 1678.3281317589965)"
8,328,[   8.         1749.25618818],[ 0.         20.18685371],[   8.         1678.32813176],[   8.        1771.4879486],"[22, 21, 24, 14, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 5, 18, 19, 25, 3, 8, 15, 12]","(8.0, 1678.3281317589965)"
9,334,[   8.         1731.63290932],[ 0.        19.9169696],[   8.         1678.32813176],[   8.         1750.36583535],"[22, 21, 24, 14, 6, 9, 13, 17, 16, 4, 11, 10, 1, 20, 7, 2, 23, 5, 18, 19, 25, 3, 8, 15, 12]","(8.0, 1678.3281317589965)"
