Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,100,[   8.         2243.45077305],[  0.         156.55268767],[   8.         1849.46257605],[   8.        2484.7373718],"[8, 22, 19, 13, 11, 5, 7, 10, 24, 14, 23, 6, 2, 12, 4, 21, 3, 18, 15, 16, 17, 1, 25, 9, 20]","(8.0, 1849.462576050093)"
1,90,[   8.         2067.09722697],[  0.         103.16017585],[   8.         1824.66527572],[   8.         2243.04057227],"[8, 22, 19, 13, 11, 5, 7, 20, 24, 14, 23, 6, 2, 12, 4, 21, 3, 18, 15, 16, 17, 1, 25, 9, 10]","(8.0, 1824.665275724708)"
2,88,[   8.         1959.01087289],[ 0.        68.7387904],[   8.         1822.72057643],[   8.         2053.11121485],"[24, 22, 9, 23, 19, 7, 16, 4, 25, 17, 13, 6, 11, 2, 12, 5, 8, 18, 21, 20, 14, 3, 10, 15, 1]","(8.0, 1822.7205764259174)"
3,88,[   8.         1886.57142393],[ 0.         34.34456714],[   8.         1804.96882807],[   8.         1932.14621675],"[15, 10, 11, 25, 13, 16, 12, 21, 6, 1, 7, 8, 4, 3, 17, 18, 23, 24, 9, 5, 2, 22, 14, 20, 19]","(8.0, 1804.9688280671448)"
4,90,[   8.         1850.82183234],[ 0.         22.93708897],[   8.         1801.93221445],[   8.         1885.67302323],"[15, 10, 11, 25, 17, 16, 12, 21, 6, 1, 7, 8, 4, 3, 13, 18, 23, 24, 9, 5, 2, 22, 14, 20, 19]","(8.0, 1801.932214452523)"
5,84,[   8.         1827.18691502],[ 0.         13.27466239],[   8.         1767.84036525],[   8.         1849.46257605],"[8, 22, 9, 13, 11, 5, 7, 20, 24, 14, 23, 6, 2, 12, 4, 21, 3, 18, 15, 16, 10, 1, 25, 19, 17]","(8.0, 1767.8403652467582)"
6,86,[   8.         1816.06178599],[ 0.         12.13184854],[   8.         1767.84036525],[   8.         1824.66527572],"[8, 22, 9, 13, 11, 5, 7, 20, 24, 14, 23, 6, 2, 12, 4, 21, 3, 18, 15, 16, 10, 1, 25, 19, 17]","(8.0, 1767.8403652467582)"
7,78,[   8.         1804.17966628],[ 0.         14.07463157],[   8.         1767.84036525],[   8.         1817.67496867],"[8, 22, 9, 13, 11, 5, 7, 20, 24, 14, 23, 6, 2, 12, 4, 21, 3, 18, 15, 16, 10, 1, 25, 19, 17]","(8.0, 1767.8403652467582)"
8,90,[   8.         1790.01712417],[ 0.         15.39913581],[   8.         1739.44221443],[   8.         1805.58252548],"[8, 22, 6, 13, 11, 5, 21, 20, 24, 14, 23, 9, 2, 12, 4, 7, 16, 18, 15, 3, 10, 1, 25, 19, 17]","(8.0, 1739.4422144336565)"
9,84,[   8.         1775.33050731],[ 0.        14.3094156],[   8.         1739.44221443],[   8.        1793.8303605],"[8, 22, 6, 13, 11, 5, 21, 20, 24, 14, 23, 9, 2, 12, 4, 7, 16, 18, 15, 3, 10, 1, 25, 19, 17]","(8.0, 1739.4422144336565)"
